gene_id,gene_name,gt,paean,salmon,kallisto,featureCounts,rsem,paean_acc,salmon_acc,kallisto_acc,featureCounts_acc,rsem_acc
ENSG00000105290.13,APLP1,37,33,25,28,32,17,89.18918919,67.56756757,75.67567568,86.48648649,45.94594595
ENSG00000018625.15,ATP1A2,8,6,5,5,6,3,75,62.5,62.5,75,37.5
ENSG00000187775.17,DNAH17,311,302,243,271,293,179,97.10610932,78.13504823,87.13826367,94.21221865,57.5562701
ENSG00000239705.2,AL354710.2,10,6,3,4,6,1,60,30,40,60,10
ENSG00000109132.7,PHOX2B,5699,5468,4478,5053,4859,3463,95.94665731,78.57518863,88.66467801,85.26057203,60.7650465
ENSG00000254777.5,AC022182.1,22,19,13,12,12,6,86.36363636,59.09090909,54.54545455,54.54545455,27.27272727
ENSG00000279955.3,AC129778.1,9,4,0,0,4,0,44.44444444,0,0,44.44444444,0
ENSG00000286615.1,AC011416.4,5,4,3,4,4,2,80,60,80,80,40
ENSG00000070770.10,CSNK2A2,92,89,63,82,89,51,96.73913043,68.47826087,89.13043478,96.73913043,55.43478261
ENSG00000007216.15,SLC13A2,6,5,5,5,5,5,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333
ENSG00000267339.7,LINC00906,58,51,38,40,50,25,87.93103448,65.51724138,68.96551724,86.20689655,43.10344828
ENSG00000254416.6,LINC02732,12,11,5,8,11,3,91.66666667,41.66666667,66.66666667,91.66666667,25
ENSG00000185008.17,ROBO2,119,118,95,116,115,80,99.15966387,79.83193277,97.4789916,96.63865546,67.22689076
ENSG00000233363.1,AC006019.2,50,49,40,45,48,33,98,80,90,96,66
ENSG00000253832.1,AC107373.1,11,10,0,0,0,0,90.90909091,0,0,0,0
ENSG00000144749.14,LRIG1,2,0,0,0,0,0,0,0,0,0,0
ENSG00000123600.20,METTL8,12,11,10,9,9,7,91.66666667,83.33333333,75,75,58.33333333
ENSG00000111142.14,METAP2,1,0,0,0,0,0,0,0,0,0,0
ENSG00000101843.19,PSMD10,10,9,7,6,9,2,90,70,60,90,20
ENSG00000287454.1,AC008149.2,337,326,270,286,322,211,96.73590504,80.11869436,84.86646884,95.54896142,62.61127596
ENSG00000162434.13,JAK1,494,476,392,443,475,311,96.3562753,79.35222672,89.67611336,96.15384615,62.95546559
ENSG00000080546.13,SESN1,19,16,12,12,16,7,84.21052632,63.15789474,63.15789474,84.21052632,36.84210526
ENSG00000226807.6,MROH5,19,17,13,16,13,9,89.47368421,68.42105263,84.21052632,68.42105263,47.36842105
ENSG00000075240.17,GRAMD4,6,4,2,2,4,0,66.66666667,33.33333333,33.33333333,66.66666667,0
ENSG00000205037.2,AC134312.1,202,197,172,182,180,134,97.52475248,85.14851485,90.0990099,89.10891089,66.33663366
ENSG00000285554.1,AC242988.2,13,12,10,9,12,3,92.30769231,76.92307692,69.23076923,92.30769231,23.07692308
ENSG00000008517.18,IL32,34,30,19,17,30,11,88.23529412,55.88235294,50,88.23529412,32.35294118
ENSG00000005381.8,MPO,168,159,131,153,159,107,94.64285714,77.97619048,91.07142857,94.64285714,63.69047619
ENSG00000180769.10,WDFY3-AS2,681,651,515,611,640,412,95.59471366,75.62408223,89.72099853,93.979442,60.49926579
ENSG00000130731.16,METTL26,23,22,13,11,22,11,95.65217391,56.52173913,47.82608696,95.65217391,47.82608696
ENSG00000131069.20,ACSS2,166,141,78,67,138,43,84.93975904,46.98795181,40.36144578,83.13253012,25.90361446
ENSG00000235965.2,AP000431.2,14,13,11,11,13,8,92.85714286,78.57142857,78.57142857,92.85714286,57.14285714
ENSG00000163946.13,TASOR,419,413,328,398,406,275,98.56801909,78.28162291,94.98806683,96.8973747,65.63245823
ENSG00000087266.17,SH3BP2,92,84,56,68,83,40,91.30434783,60.86956522,73.91304348,90.2173913,43.47826087
ENSG00000109606.13,DHX15,19,18,15,18,18,12,94.73684211,78.94736842,94.73684211,94.73684211,63.15789474
ENSG00000135083.16,CCNJL,696,667,540,638,667,455,95.83333333,77.5862069,91.66666667,95.83333333,65.37356322
ENSG00000125740.14,FOSB,111,107,80,99,106,68,96.3963964,72.07207207,89.18918919,95.4954955,61.26126126
ENSG00000169903.7,TM4SF4,6,4,1,3,4,1,66.66666667,16.66666667,50,66.66666667,16.66666667
ENSG00000110492.15,MDK,102,92,53,46,92,30,90.19607843,51.96078431,45.09803922,90.19607843,29.41176471
ENSG00000250511.1,AC098798.1,9,8,6,7,7,3,88.88888889,66.66666667,77.77777778,77.77777778,33.33333333
ENSG00000189403.15,HMGB1,163,151,0,0,0,0,92.63803681,0,0,0,0
ENSG00000135945.10,REV1,34,28,20,21,26,12,82.35294118,58.82352941,61.76470588,76.47058824,35.29411765
ENSG00000128050.9,PAICS,7,4,1,1,4,1,57.14285714,14.28571429,14.28571429,57.14285714,14.28571429
